N° de factura,Fecha de factura,ID Cliente,País,Cantidad,Monto,Tipo de factura,Año,Mes,Día,Hora,Día de la semana
C561210,2021-07-25 16:58:00,17841.0,United Kingdom,-10,-12.5,ND,2021,7,25,16,domingo
C545502,2021-03-03 11:33:00,15078.0,United Kingdom,-10,-19.5,ND,2021,3,3,11,miércoles
538010,2020-12-09 12:20:00,17526.0,United Kingdom,40,226.8,F,2020,12,9,12,miércoles
579089,2021-11-28 10:46:00,17920.0,United Kingdom,58,111.11,F,2021,11,28,10,domingo
560713,2021-07-20 13:09:00,16774.0,United Kingdom,56,160.8,F,2021,7,20,13,martes
571098,2021-10-13 15:38:00,17841.0,United Kingdom,200,437.43,F,2021,10,13,15,miércoles
574994,2021-11-08 11:03:00,17870.0,United Kingdom,62,143.11,F,2021,11,8,11,lunes
570257,2021-10-10 09:56:00,13767.0,United Kingdom,129,380.31,F,2021,10,10,9,domingo
541669,2021-01-20 12:29:00,17315.0,United Kingdom,172,331.76,F,2021,1,20,12,miércoles
C560687,2021-07-20 11:51:00,14606.0,United Kingdom,-28,-23.37,ND,2021,7,20,11,martes
C569891,2021-10-06 15:46:00,13924.0,United Kingdom,-19,-65.09,ND,2021,10,6,15,miércoles
552404,2021-05-09 12:39:00,15932.0,United Kingdom,262,305.02,F,2021,5,9,12,domingo
566035,2021-09-08 13:17:00,12839.0,United Kingdom,286,413.58,F,2021,9,8,13,miércoles
576911,2021-11-17 10:01:00,17461.0,United Kingdom,342,349.2,F,2021,11,17,10,miércoles
572272,2021-10-21 16:18:00,13171.0,United Kingdom,60,132.54,F,2021,10,21,16,jueves
577783,2021-11-21 16:20:00,18139.0,United Kingdom,1644,2786.4,F,2021,11,21,16,domingo
578757,2021-11-25 11:41:00,12748.0,United Kingdom,256,420.41,F,2021,11,25,11,jueves
C553557,2021-05-17 17:03:00,13266.0,United Kingdom,-2,-3.2,ND,2021,5,17,17,lunes
542351,2021-01-27 12:13:00,14560.0,United Kingdom,39,152.25,F,2021,1,27,12,miércoles
558245,2021-06-27 16:28:00,,United Kingdom,8,0.0,F,2021,6,27,16,domingo
C578090,2021-11-22 17:03:00,12483.0,Sweden,-2,-80.0,ND,2021,11,22,17,lunes
559164,2021-07-06 16:39:00,16422.0,United Kingdom,406,587.46,F,2021,7,6,16,martes
578150,2021-11-23 11:18:00,16020.0,United Kingdom,10,16.5,F,2021,11,23,11,martes
558770,2021-07-03 15:19:00,12748.0,United Kingdom,60,115.55,F,2021,7,3,15,sábado
C569552,2021-10-04 17:44:00,14533.0,United Kingdom,-1200,-84.0,ND,2021,10,4,17,lunes
C550646,2021-04-19 16:32:00,16873.0,United Kingdom,-6,-14.4,ND,2021,4,19,16,lunes
C571329,2021-10-17 11:32:00,17706.0,United Kingdom,-13,-50.8,ND,2021,10,17,11,domingo
C544557,2021-02-21 12:31:00,17422.0,United Kingdom,-15,-55.35,ND,2021,2,21,12,domingo
C539277,2020-12-16 15:37:00,15777.0,United Kingdom,-3,-25.5,ND,2020,12,16,15,miércoles
C577731,2021-11-21 13:06:00,17811.0,United Kingdom,-6,-11.7,ND,2021,11,21,13,domingo
580386,2021-12-04 10:29:00,18065.0,United Kingdom,50,188.9,F,2021,12,4,10,sábado
C553866,2021-05-19 14:14:00,14620.0,United Kingdom,-26,-19.5,ND,2021,5,19,14,miércoles
570252,2021-10-10 09:14:00,14665.0,United Kingdom,238,559.52,F,2021,10,10,9,domingo
536782,2020-12-02 15:18:00,17567.0,United Kingdom,244,517.95,F,2020,12,2,15,miércoles
C544594,2021-02-21 16:58:00,15079.0,United Kingdom,-1,-1.95,ND,2021,2,21,16,domingo
571082,2021-10-13 15:25:00,,United Kingdom,479,1354.71,F,2021,10,13,15,miércoles
551984,2021-05-05 14:37:00,15841.0,United Kingdom,234,281.66,F,2021,5,5,14,miércoles
C554931,2021-05-27 13:21:00,17841.0,United Kingdom,-4,-5.0,ND,2021,5,27,13,jueves
564476,2021-08-25 12:57:00,12610.0,Italy,168,309.5,F,2021,8,25,12,miércoles
540353,2021-01-06 14:53:00,13764.0,United Kingdom,282,499.89,F,2021,1,6,14,miércoles
558706,2021-07-01 12:52:00,16839.0,United Kingdom,320,416.96,F,2021,7,1,12,jueves
566278,2021-09-11 14:05:00,13614.0,United Kingdom,67,302.15,F,2021,9,11,14,sábado
540477,2021-01-07 14:49:00,13233.0,United Kingdom,404,304.24,F,2021,1,7,14,jueves
569695,2021-10-05 15:35:00,16843.0,United Kingdom,938,993.88,F,2021,10,5,15,martes
C556920,2021-06-15 13:49:00,13047.0,United Kingdom,-3,-13.85,ND,2021,6,15,13,martes
C543469,2021-02-08 14:55:00,12709.0,Germany,-12,-83.98,ND,2021,2,8,14,lunes
538308,2020-12-10 13:29:00,14107.0,United Kingdom,268,363.24,F,2020,12,10,13,jueves
549054,2021-04-06 10:21:00,17719.0,United Kingdom,109,312.19,F,2021,4,6,10,martes
555626,2021-06-06 11:55:00,16103.0,United Kingdom,92,270.8,F,2021,6,6,11,domingo
C572343,2021-10-24 10:40:00,14607.0,United Kingdom,-2344,-2949.28,ND,2021,10,24,10,domingo
C558530,2021-06-30 11:26:00,15039.0,United Kingdom,-2,-17.0,ND,2021,6,30,11,miércoles
563921,2021-08-21 14:00:00,16407.0,United Kingdom,2,15.9,F,2021,8,21,14,sábado
563943,2021-08-22 10:04:00,13139.0,United Kingdom,268,540.92,F,2021,8,22,10,domingo
575854,2021-11-11 12:20:00,14125.0,United Kingdom,486,1111.08,F,2021,11,11,12,jueves
552764,2021-05-11 11:34:00,17489.0,United Kingdom,232,208.56,F,2021,5,11,11,martes
571407,2021-10-17 12:16:00,13750.0,United Kingdom,85,330.63,F,2021,10,17,12,domingo
548208,2021-03-29 17:12:00,14189.0,United Kingdom,224,314.1,F,2021,3,29,17,lunes
556922,2021-06-15 13:56:00,12748.0,United Kingdom,5,14.25,F,2021,6,15,13,martes
572076,2021-10-20 14:01:00,13761.0,United Kingdom,418,578.94,F,2021,10,20,14,miércoles
544189,2021-02-16 16:40:00,15867.0,United Kingdom,36,133.0,F,2021,2,16,16,martes
562543,2021-08-05 15:45:00,13552.0,United Kingdom,216,463.9,F,2021,8,5,15,jueves
573136,2021-10-27 17:00:00,12709.0,Germany,110,268.68,F,2021,10,27,17,miércoles
558261,2021-06-28 08:39:00,16945.0,United Kingdom,24,10.08,F,2021,6,28,8,lunes
581482,2021-12-09 09:08:00,17490.0,United Kingdom,228,488.4,F,2021,12,9,9,jueves
579740,2021-11-30 14:30:00,,United Kingdom,13,32.07,F,2021,11,30,14,martes
559538,2021-07-10 12:25:00,16880.0,United Kingdom,135,269.49,F,2021,7,10,12,sábado
548862,2021-04-04 13:47:00,17956.0,United Kingdom,1,12.75,F,2021,4,4,13,domingo
565569,2021-09-05 12:21:00,14111.0,United Kingdom,18,48.3,F,2021,9,5,12,domingo
556047,2021-06-08 12:57:00,12901.0,United Kingdom,90,276.24,F,2021,6,8,12,martes
548189,2021-03-29 15:15:00,16607.0,United Kingdom,163,141.41,F,2021,3,29,15,lunes
557213,2021-06-17 12:16:00,15021.0,United Kingdom,119,218.14,F,2021,6,17,12,jueves
549142,2021-04-06 15:26:00,,United Kingdom,-24,0.0,F,2021,4,6,15,martes
571310,2021-10-17 10:17:00,13394.0,United Kingdom,463,371.73,F,2021,10,17,10,domingo
542254,2021-01-26 16:41:00,14733.0,United Kingdom,133,511.69,F,2021,1,26,16,martes
576674,2021-11-16 12:00:00,,United Kingdom,-6,0.0,F,2021,11,16,12,martes
C553841,2021-05-19 12:19:00,16029.0,United Kingdom,-48,-9.6,ND,2021,5,19,12,miércoles
548546,2021-03-31 19:20:00,16600.0,United Kingdom,186,111.6,F,2021,3,31,19,miércoles
558563,2021-06-30 13:43:00,14561.0,United Kingdom,192,344.92,F,2021,6,30,13,miércoles
543385,2021-02-07 16:24:00,,United Kingdom,1,7.95,F,2021,2,7,16,domingo
546034,2021-03-09 09:44:00,14032.0,United Kingdom,291,309.64,F,2021,3,9,9,martes
557602,2021-06-21 11:57:00,14110.0,United Kingdom,156,379.72,F,2021,6,21,11,lunes
544596,2021-02-21 17:35:00,16441.0,United Kingdom,110,211.0,F,2021,2,21,17,domingo
553006,2021-05-12 16:45:00,15544.0,United Kingdom,393,560.35,F,2021,5,12,16,miércoles
542634,2021-01-31 10:42:00,15448.0,United Kingdom,232,494.64,F,2021,1,31,10,domingo
540536,2021-01-09 14:21:00,17757.0,United Kingdom,93,145.5,F,2021,1,9,14,sábado
536568,2020-12-01 15:28:00,16048.0,United Kingdom,12,5.04,F,2020,12,1,15,martes
545686,2021-03-06 12:09:00,18211.0,United Kingdom,56,137.9,F,2021,3,6,12,sábado
553861,2021-05-19 13:58:00,13591.0,United Kingdom,135,314.03,F,2021,5,19,13,miércoles
C551015,2021-04-26 11:06:00,12753.0,Japan,-33,-85.47,ND,2021,4,26,11,lunes
567370,2021-09-20 09:13:00,14236.0,United Kingdom,272,301.56,F,2021,9,20,9,lunes
560034,2021-07-14 13:35:00,13933.0,United Kingdom,113,300.99,F,2021,7,14,13,miércoles
547419,2021-03-23 10:27:00,15061.0,United Kingdom,1135,1649.58,F,2021,3,23,10,martes
C565681,2021-09-06 10:42:00,15521.0,United Kingdom,-92,-192.4,ND,2021,9,6,10,lunes
565081,2021-09-01 09:03:00,,United Kingdom,1,0.0,F,2021,9,1,9,miércoles
565680,2021-09-06 10:27:00,14560.0,United Kingdom,240,100.8,F,2021,9,6,10,lunes
561244,2021-07-26 11:24:00,13865.0,United Kingdom,54,100.82,F,2021,7,26,11,lunes
C576831,2021-11-16 14:56:00,12748.0,United Kingdom,-1082,-1301.0,ND,2021,11,16,14,martes
542155,2021-01-26 10:51:00,15777.0,United Kingdom,112,285.6,F,2021,1,26,10,martes
572023,2021-10-20 11:03:00,17764.0,United Kingdom,247,556.85,F,2021,10,20,11,miércoles
577749,2021-11-21 14:26:00,16242.0,United Kingdom,299,534.2,F,2021,11,21,14,domingo
C537383,2020-12-06 13:17:00,16550.0,United Kingdom,-3,-9.05,ND,2020,12,6,13,domingo
550901,2021-04-21 12:12:00,13389.0,United Kingdom,115,257.89,F,2021,4,21,12,miércoles
555546,2021-06-05 13:09:00,17735.0,United Kingdom,118,228.3,F,2021,6,5,13,sábado
561900,2021-07-31 15:31:00,16655.0,United Kingdom,523,638.19,F,2021,7,31,15,sábado
547963,2021-03-28 15:42:00,13037.0,United Kingdom,158,250.42,F,2021,3,28,15,domingo
575968,2021-11-13 12:47:00,14882.0,United Kingdom,92,341.8,F,2021,11,13,12,sábado
571745,2021-10-19 10:48:00,14911.0,EIRE,711,1588.75,F,2021,10,19,10,martes
539986,2020-12-23 15:21:00,,United Kingdom,7,15.25,F,2020,12,23,15,miércoles
543115,2021-02-03 13:27:00,14606.0,United Kingdom,72,120.75,F,2021,2,3,13,miércoles
552947,2021-05-12 11:57:00,16943.0,United Kingdom,20,172.1,F,2021,5,12,11,miércoles
550002,2021-04-14 09:30:00,12709.0,Germany,41,68.0,F,2021,4,14,9,miércoles
551320,2021-04-27 15:25:00,,United Kingdom,60,0.0,F,2021,4,27,15,martes
569539,2021-10-04 15:58:00,18102.0,United Kingdom,112,557.76,F,2021,10,4,15,lunes
569863,2021-10-06 14:44:00,,United Kingdom,1,9.95,F,2021,10,6,14,miércoles
545812,2021-03-07 12:26:00,14214.0,United Kingdom,313,638.65,F,2021,3,7,12,domingo
569740,2021-10-06 10:52:00,15769.0,United Kingdom,1600,2924.0,F,2021,10,6,10,miércoles
564648,2021-08-26 14:04:00,15641.0,United Kingdom,466,581.82,F,2021,8,26,14,jueves
573751,2021-11-01 09:33:00,,United Kingdom,10,0.0,F,2021,11,1,9,lunes
551859,2021-05-04 15:37:00,14336.0,United Kingdom,301,230.03,F,2021,5,4,15,martes
538070,2020-12-09 14:08:00,16519.0,United Kingdom,24,103.7,F,2020,12,9,14,miércoles
576848,2021-11-16 15:38:00,15051.0,United Kingdom,124,245.68,F,2021,11,16,15,martes
546442,2021-03-14 10:38:00,15159.0,United Kingdom,54,207.3,F,2021,3,14,10,domingo
560422,2021-07-18 15:14:00,16746.0,United Kingdom,162,300.18,F,2021,7,18,15,domingo
541967,2021-01-24 13:35:00,,United Kingdom,-3,0.0,F,2021,1,24,13,domingo
C546894,2021-03-17 18:21:00,14334.0,United Kingdom,-1,-12.75,ND,2021,3,17,18,miércoles
559948,2021-07-14 10:41:00,12653.0,Israel,633,1430.75,F,2021,7,14,10,miércoles
539688,2020-12-21 11:00:00,12678.0,France,1,150.0,F,2020,12,21,11,lunes
548916,2021-04-05 10:07:00,14849.0,United Kingdom,377,422.34,F,2021,4,5,10,lunes
576767,2021-11-16 13:12:00,,United Kingdom,-60,0.0,F,2021,11,16,13,martes
565851,2021-09-07 13:06:00,14911.0,EIRE,332,637.29,F,2021,9,7,13,martes
538909,2020-12-15 10:48:00,13491.0,United Kingdom,18,97.5,F,2020,12,15,10,martes
553475,2021-05-17 11:31:00,18102.0,United Kingdom,306,866.4,F,2021,5,17,11,lunes
536523,2020-12-01 12:50:00,12868.0,United Kingdom,112,203.3,F,2020,12,1,12,martes
547571,2021-03-24 09:52:00,16265.0,United Kingdom,182,432.3,F,2021,3,24,9,miércoles
557871,2021-06-23 12:41:00,13458.0,United Kingdom,130,300.78,F,2021,6,23,12,miércoles
C565290,2021-09-02 11:46:00,16092.0,United Kingdom,-24,-30.0,ND,2021,9,2,11,jueves
553017,2021-05-12 19:01:00,12757.0,Portugal,311,602.83,F,2021,5,12,19,miércoles
549471,2021-04-08 14:39:00,17389.0,United Kingdom,72,73.5,F,2021,4,8,14,jueves
573924,2021-11-02 09:45:00,15065.0,United Kingdom,202,299.38,F,2021,11,2,9,martes
C554011,2021-05-20 12:55:00,13151.0,United Kingdom,-2,-7.5,ND,2021,5,20,12,jueves
576641,2021-11-16 09:59:00,17549.0,United Kingdom,150,120.66,F,2021,11,16,9,martes
574746,2021-11-07 08:30:00,16523.0,United Kingdom,198,676.8,F,2021,11,7,8,domingo
546019,2021-03-08 17:25:00,14507.0,United Kingdom,50,39.49,F,2021,3,8,17,lunes
556809,2021-06-14 16:48:00,17179.0,United Kingdom,82,223.48,F,2021,6,14,16,lunes
567768,2021-09-22 11:17:00,15950.0,United Kingdom,123,255.84,F,2021,9,22,11,miércoles
574661,2021-11-06 11:56:00,13447.0,United Kingdom,166,430.3,F,2021,11,6,11,sábado
C575940,2021-11-13 11:38:00,17838.0,United Kingdom,-458,-466.6,ND,2021,11,13,11,sábado
549838,2021-04-12 13:39:00,16705.0,United Kingdom,48,96.0,F,2021,4,12,13,lunes
547519,2021-03-23 14:46:00,16308.0,United Kingdom,1000,320.0,F,2021,3,23,14,martes
C554140,2021-05-23 10:34:00,13004.0,United Kingdom,-4,-15.8,ND,2021,5,23,10,domingo
C558736,2021-07-01 15:14:00,18075.0,United Kingdom,-4,-18.28,ND,2021,7,1,15,jueves
577080,2021-11-17 15:24:00,17001.0,United Kingdom,172,357.6,F,2021,11,17,15,miércoles
560048,2021-07-14 15:02:00,13515.0,United Kingdom,127,132.16,F,2021,7,14,15,miércoles
C566963,2021-09-15 17:09:00,17573.0,United Kingdom,-6,-17.7,ND,2021,9,15,17,miércoles
568709,2021-09-28 15:42:00,15036.0,United Kingdom,176,219.86,F,2021,9,28,15,martes
539651,2020-12-20 16:19:00,,United Kingdom,26,32.5,F,2020,12,20,16,domingo
578171,2021-11-23 11:36:00,17685.0,United Kingdom,207,392.4,F,2021,11,23,11,martes
576400,2021-11-15 10:51:00,13632.0,United Kingdom,288,452.14,F,2021,11,15,10,lunes
557640,2021-06-21 16:24:00,,United Kingdom,364,1760.85,F,2021,6,21,16,lunes
543013,2021-02-02 13:35:00,,United Kingdom,310,1340.77,F,2021,2,2,13,martes
542083,2021-01-25 12:26:00,18008.0,United Kingdom,355,130.81,F,2021,1,25,12,lunes
579759,2021-11-30 15:02:00,15251.0,United Kingdom,244,363.88,F,2021,11,30,15,martes
552215,2021-05-06 15:12:00,,United Kingdom,-41,0.0,F,2021,5,6,15,jueves
537628,2020-12-07 15:02:00,16293.0,United Kingdom,189,378.75,F,2020,12,7,15,lunes
542096,2021-01-25 12:52:00,17236.0,United Kingdom,141,199.33,F,2021,1,25,12,lunes
549149,2021-04-06 15:31:00,,United Kingdom,-43,0.0,F,2021,4,6,15,martes
C541284,2021-01-17 12:45:00,17744.0,United Kingdom,-36,-31.32,ND,2021,1,17,12,domingo
576909,2021-11-17 09:49:00,12471.0,Germany,519,1072.12,F,2021,11,17,9,miércoles
560105,2021-07-14 19:23:00,16794.0,United Kingdom,263,222.13,F,2021,7,14,19,miércoles
541709,2021-01-21 11:09:00,17504.0,United Kingdom,233,441.15,F,2021,1,21,11,jueves
578272,2021-11-23 13:40:00,17463.0,United Kingdom,126,198.31,F,2021,11,23,13,martes
555363,2021-06-02 14:15:00,14453.0,United Kingdom,49,119.93,F,2021,6,2,14,miércoles
566033,2021-09-08 13:07:00,16031.0,United Kingdom,204,243.31,F,2021,9,8,13,miércoles
571545,2021-10-17 16:59:00,,United Kingdom,11,13.65,F,2021,10,17,16,domingo
562155,2021-08-03 11:24:00,17940.0,United Kingdom,648,162.0,F,2021,8,3,11,martes
C575142,2021-11-08 15:36:00,17183.0,United Kingdom,-30,-37.5,ND,2021,11,8,15,lunes
561047,2021-07-24 12:46:00,16948.0,United Kingdom,1368,194.48,F,2021,7,24,12,sábado
C544442,2021-02-20 10:30:00,15465.0,United Kingdom,-3,-32.85,ND,2021,2,20,10,sábado
568527,2021-09-27 13:21:00,13178.0,United Kingdom,539,765.0,F,2021,9,27,13,lunes
563382,2021-08-16 10:50:00,18221.0,United Kingdom,145,169.85,F,2021,8,16,10,lunes
C560220,2021-07-15 15:22:00,14572.0,United Kingdom,-1,-12.75,ND,2021,7,15,15,jueves
C548647,2021-04-01 13:17:00,12888.0,United Kingdom,-3,-29.85,ND,2021,4,1,13,jueves
549196,2021-04-07 10:33:00,14911.0,EIRE,271,356.23,F,2021,4,7,10,miércoles
577599,2021-11-21 08:26:00,15738.0,United Kingdom,202,316.9,F,2021,11,21,8,domingo
569567,2021-10-05 09:56:00,16059.0,United Kingdom,40,105.3,F,2021,10,5,9,martes
576347,2021-11-14 15:38:00,13268.0,United Kingdom,2,8.2,F,2021,11,14,15,domingo
544569,2021-02-21 12:58:00,16980.0,United Kingdom,418,732.36,F,2021,2,21,12,domingo
542865,2021-02-01 12:08:00,12929.0,United Kingdom,37,117.85,F,2021,2,1,12,lunes
562789,2021-08-09 13:50:00,14646.0,Netherlands,7807,12341.21,F,2021,8,9,13,lunes
567798,2021-09-22 12:00:00,13089.0,United Kingdom,331,886.63,F,2021,9,22,12,miércoles
C539838,2020-12-22 13:59:00,13458.0,United Kingdom,-10,-16.5,ND,2020,12,22,13,martes
565577,2021-09-05 12:24:00,14177.0,United Kingdom,2,7.5,F,2021,9,5,12,domingo
550915,2021-04-21 13:30:00,13263.0,United Kingdom,69,133.59,F,2021,4,21,13,miércoles
541293,2021-01-17 13:39:00,15311.0,United Kingdom,145,394.57,F,2021,1,17,13,domingo
578688,2021-11-25 09:27:00,16719.0,United Kingdom,235,292.67,F,2021,11,25,9,jueves
560896,2021-07-21 17:26:00,15623.0,United Kingdom,125,301.03,F,2021,7,21,17,miércoles
561711,2021-07-29 11:45:00,13414.0,United Kingdom,368,532.8,F,2021,7,29,11,jueves
C575385,2021-11-09 15:19:00,15916.0,United Kingdom,-3,-18.55,ND,2021,11,9,15,martes
C571023,2021-10-13 12:18:00,15239.0,United Kingdom,-3,-16.25,ND,2021,10,13,12,miércoles
575701,2021-11-10 16:59:00,13396.0,United Kingdom,461,973.72,F,2021,11,10,16,miércoles
547886,2021-03-28 09:21:00,13652.0,United Kingdom,178,329.44,F,2021,3,28,9,domingo
562467,2021-08-05 11:50:00,13513.0,United Kingdom,109,205.1,F,2021,8,5,11,jueves
563927,2021-08-21 15:01:00,14013.0,United Kingdom,258,199.22,F,2021,8,21,15,sábado
C565229,2021-09-02 09:12:00,17450.0,United Kingdom,-1,-200.0,ND,2021,9,2,9,jueves
581471,2021-12-08 19:29:00,14702.0,United Kingdom,76,199.29,F,2021,12,8,19,miércoles
573230,2021-10-28 11:55:00,13199.0,United Kingdom,48,85.92,F,2021,10,28,11,jueves
568656,2021-09-28 12:21:00,14911.0,EIRE,70,141.62,F,2021,9,28,12,martes
554502,2021-05-24 14:47:00,14289.0,United Kingdom,26,124.68,F,2021,5,24,14,lunes
581017,2021-12-07 10:06:00,14910.0,United Kingdom,80,110.8,F,2021,12,7,10,martes
C540118,2021-01-05 09:57:00,,United Kingdom,-1,-16453.71,ND,2021,1,5,9,martes
540116,2021-01-05 09:54:00,,United Kingdom,2,10.13,F,2021,1,5,9,martes
546428,2021-03-13 14:55:00,12681.0,France,185,343.29,F,2021,3,13,14,sábado
571090,2021-10-13 15:28:00,15271.0,United Kingdom,34,79.5,F,2021,10,13,15,miércoles
540856,2021-01-12 10:16:00,16655.0,United Kingdom,373,812.25,F,2021,1,12,10,martes
568242,2021-09-26 12:11:00,14931.0,Channel Islands,181,261.65,F,2021,9,26,12,domingo
557599,2021-06-21 11:34:00,,United Kingdom,-1440,0.0,F,2021,6,21,11,lunes
550713,2021-04-20 11:11:00,15159.0,United Kingdom,1,12.5,F,2021,4,20,11,martes
542100,2021-01-25 13:15:00,15339.0,United Kingdom,159,257.9,F,2021,1,25,13,lunes
549833,2021-04-12 13:19:00,13458.0,United Kingdom,666,1015.14,F,2021,4,12,13,lunes
571918,2021-10-19 16:05:00,17350.0,United Kingdom,240,156.24,F,2021,10,19,16,martes
566983,2021-09-16 10:16:00,,United Kingdom,1,0.0,F,2021,9,16,10,jueves
537432,2020-12-06 16:10:00,,United Kingdom,-43,0.0,F,2020,12,6,16,domingo
537759,2020-12-08 11:42:00,13126.0,United Kingdom,108,203.64,F,2020,12,8,11,martes
554128,2021-05-23 09:26:00,,United Kingdom,-4,0.0,F,2021,5,23,9,domingo
555940,2021-06-08 10:10:00,14191.0,United Kingdom,98,357.6,F,2021,6,8,10,martes
C574318,2021-11-03 19:11:00,16729.0,United Kingdom,-7,-20.2,ND,2021,11,3,19,miércoles
560834,2021-07-21 12:15:00,16523.0,United Kingdom,204,484.4,F,2021,7,21,12,miércoles
554366,2021-05-24 10:24:00,17450.0,United Kingdom,3084,9468.48,F,2021,5,24,10,lunes
566520,2021-09-13 11:26:00,17757.0,United Kingdom,61,161.19,F,2021,9,13,11,lunes
